,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_08_min_cluster_size_0_1,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26,random_model_n27,random_model_n28,random_model_n29,random_model_n30,random_model_n31,random_model_n32,random_model_n33,random_model_n34,random_model_n35,random_model_n36,random_model_n37,random_model_n38,random_model_n39,random_model_n40,random_model_n41,random_model_n42,random_model_n43,random_model_n44,random_model_n45,random_model_n46,random_model_n47,random_model_n48,random_model_n49,random_model_n50,random_model_n51,random_model_n52,random_model_n53
348,0,0,2,3,1,2,5,3,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,3,0,0,0,0,2,3,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1
349,0,0,2,3,4,2,1,3,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,0,0,2,5,5,6,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1
350,0,0,2,3,4,2,1,3,25,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,1,2,1,4,0,1,2,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0
351,0,0,0,2,3,3,2,7,8,1,1,1,1,0,0,0,0,0,0,0,1,1,0,5,5,0,0,0,0,0,1,2,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1
352,0,0,0,1,3,0,4,1,44,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,0,0,1,1,2,3,4,3,3,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0
353,0,0,2,3,4,2,1,3,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,0,0,2,5,5,6,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1
354,0,0,2,3,1,2,1,3,47,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,1,1,2,3,4,3,7,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0
355,0,1,1,0,4,4,3,6,5,1,1,1,1,0,0,0,0,0,0,2,3,0,4,4,3,0,0,0,0,2,5,5,6,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0
356,0,0,2,3,1,0,5,5,31,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,7,0,1,1,2,3,4,3,7,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1
357,0,0,2,3,1,2,1,3,51,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,1,1,2,3,4,3,7,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1
358,0,0,2,3,4,2,1,3,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,0,0,2,5,5,6,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1
359,0,0,2,3,1,0,5,5,18,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,7,0,1,1,2,3,4,3,7,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0
360,0,1,1,0,0,1,6,4,36,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,6,0,1,2,1,4,0,6,5,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0
361,0,1,0,2,2,5,2,7,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,0,0,0,1,2,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1
362,0,1,0,2,2,5,0,2,8,1,1,1,1,0,0,0,0,0,0,2,0,1,0,5,5,0,0,0,0,0,1,2,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1
363,0,1,1,2,2,1,0,2,43,1,1,1,1,0,0,0,0,0,0,2,0,1,0,4,5,0,0,0,0,0,1,2,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1
364,0,0,0,2,3,3,2,7,16,0,0,0,0,0,0,0,0,0,0,0,1,4,5,1,1,0,1,1,3,1,2,4,4,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1
365,0,1,1,0,0,4,6,4,19,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,2,0,1,2,1,4,0,1,2,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0
366,0,0,2,1,1,0,5,5,30,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,0,0,1,1,2,3,4,3,7,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1
367,0,1,0,2,2,3,2,7,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0
368,0,1,0,2,2,5,2,7,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,1,0,1,1,3,1,2,4,4,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
369,0,1,1,0,0,1,6,2,17,0,0,0,0,0,0,0,0,0,0,2,3,3,2,2,6,0,1,2,3,1,2,6,5,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0
370,0,0,2,3,4,2,1,3,15,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,1,2,1,4,0,1,2,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0
371,0,0,2,3,1,2,1,3,10,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,1,1,2,3,4,3,7,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0
372,0,1,1,0,0,1,6,2,-1,1,1,1,1,0,0,0,0,0,0,2,3,1,2,4,6,0,0,0,0,0,1,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1
373,0,0,2,3,4,4,3,0,35,0,0,0,0,0,0,0,0,0,1,1,2,0,3,6,2,0,1,2,1,4,0,1,2,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1
374,0,1,1,0,0,1,6,4,-1,0,0,0,0,0,0,0,0,0,0,2,3,3,2,3,6,0,1,2,1,4,0,6,5,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1
375,0,0,0,1,3,3,4,1,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,5,0,0,0,0,0,1,2,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0
376,0,1,1,2,0,1,0,2,-1,1,1,1,1,0,0,0,0,0,0,2,0,1,0,4,5,0,0,0,0,0,1,2,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0
377,0,0,0,1,3,3,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,1,1,2,3,4,4,3,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0
378,0,0,0,1,3,3,4,1,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,0,0,0,0,0,0,3,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1
379,0,0,2,3,1,0,5,5,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,3,0,0,0,0,2,3,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1
380,0,1,1,0,4,4,3,6,5,1,1,1,1,0,0,0,0,0,0,2,3,0,4,4,3,0,0,0,0,2,5,5,6,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1
381,0,1,1,0,0,1,0,2,33,0,0,0,0,0,0,0,0,0,0,2,0,3,2,2,6,0,1,2,3,1,2,6,5,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0
382,0,0,0,2,3,3,2,7,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,0,0,0,1,2,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1
383,0,0,2,3,4,4,3,6,1,1,1,1,1,0,0,0,0,0,1,1,2,0,4,6,3,0,0,0,0,2,5,5,6,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0
384,0,0,0,1,3,3,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,1,1,2,3,4,4,3,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0
385,0,1,1,0,0,1,6,6,3,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,0,0,0,2,5,5,6,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1
386,0,0,0,1,3,3,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,1,1,2,3,4,4,3,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
387,0,1,1,0,0,1,6,6,3,1,1,1,1,0,0,0,0,0,0,2,3,1,2,4,6,0,0,0,0,2,5,5,6,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0
388,0,1,1,2,2,5,0,2,9,0,0,0,0,0,0,0,0,0,0,2,0,3,5,2,4,0,1,2,3,1,2,6,5,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0
389,0,0,2,1,1,0,5,5,30,0,0,0,0,0,0,0,0,0,1,1,1,4,1,0,0,0,1,1,2,3,4,3,7,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1
390,0,0,2,3,1,0,5,5,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,3,0,0,0,0,2,3,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1
391,0,0,2,3,1,2,5,5,13,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,7,0,1,1,2,3,4,3,7,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0
392,0,0,0,1,3,3,4,1,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,3,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1
393,0,1,0,2,2,3,2,7,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
394,0,1,1,0,0,1,6,4,11,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,6,0,1,2,1,4,0,6,5,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0
395,0,0,2,3,1,2,1,3,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,0,0,2,3,0,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0
396,0,1,1,0,4,4,3,0,-1,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,1,2,1,4,0,1,2,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0
397,0,1,0,2,2,5,2,7,23,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,0,1,1,3,1,2,4,4,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,1
398,0,1,0,2,2,5,2,7,23,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,0,1,1,3,1,2,4,4,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0
399,0,0,0,1,3,0,4,1,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,3,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0
400,0,1,1,0,0,1,0,2,33,0,0,0,0,0,0,0,0,0,0,2,0,3,2,2,6,0,1,2,3,1,2,6,5,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0
401,0,0,0,1,3,3,4,1,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,0,0,0,0,0,0,3,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0
402,0,1,0,2,2,5,2,7,39,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,1,0,1,1,3,1,2,4,4,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0
403,0,1,1,0,0,1,6,6,3,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,0,0,0,2,5,5,6,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0
404,0,1,1,0,4,4,3,6,5,1,1,1,1,0,0,0,0,0,0,1,3,0,4,4,3,0,0,0,0,2,5,5,6,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0
405,0,0,2,3,4,4,3,6,1,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,0,0,2,5,5,6,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1
406,0,0,2,1,1,0,5,5,2,1,1,1,1,0,0,0,0,0,1,1,1,4,4,0,0,0,0,0,0,2,3,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1
407,0,1,1,0,0,1,6,4,11,0,0,0,0,0,0,0,0,0,0,2,3,3,2,3,6,0,1,2,1,4,0,6,5,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1
408,0,0,0,1,3,0,4,1,44,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,0,0,1,1,2,3,4,3,3,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1
409,0,0,0,2,3,3,2,7,16,0,0,0,0,0,0,0,0,0,1,0,1,4,5,1,1,0,1,1,3,1,2,4,4,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1
410,0,1,1,0,4,4,3,6,5,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,3,0,0,0,0,2,5,5,6,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1
411,0,1,1,0,0,1,0,2,14,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,5,0,0,0,0,0,1,2,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1
412,0,1,1,0,0,1,6,6,3,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,0,0,0,2,5,5,6,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0
413,0,1,1,0,0,1,6,6,3,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,0,0,0,2,5,5,6,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0
414,0,1,0,2,2,5,2,7,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1
415,0,0,0,1,3,3,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,1,1,2,3,4,4,3,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1
416,0,0,0,1,3,0,5,5,20,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,0,0,1,1,2,3,4,3,3,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0
417,0,0,2,3,4,2,1,3,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,0,0,2,5,5,6,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1
418,0,0,0,2,3,3,2,1,49,0,0,0,0,0,0,0,0,0,1,0,1,4,5,1,1,0,1,1,3,1,2,4,4,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1
